comuna,actividad_comercial,total
5,"Hoteles, geri�tricos y alojamiento",113
5,"Indumentaria, accesorios, calzado y textiles",489
5,"Inmobiliarias y constructoras, administración de consorcios",120
5,Instrumentos musicales (venta),4
5,Juegos de azar,81
5,Jugueterías,19
5,Librerías (venta de libros y revistas),26
5,"Librerías comerciales, fotocopias y útiles, y artística",129
5,Local en 1º piso con accesoo / con marquesinas,72
5,"Locales para esparcimiento (peloteros, teatros, cines, locales bailables)",33
5,Locutorios y servicios de Internet,6
5,Paseos de compras (puestos con estructura de metal),1
5,"Peluquerías, manicuras,  pedicuras, centros de belleza, spas y  depilación",316
5,"Rapipago, Pago Fácil, Bapro Pago y lugares de pago de servicios diversos excepto Bancos",24
5,"Remises, fletes y mudanzas",16
5,"Reparaciones en general (zapatos, electrodomésticos, ropa, etc.)",156
5,Restaurantes y comidas,611
5,Salud privada,109
5,Sepelios y funerarias,11
5,Servicios profesionales y financieros,168
5,Tatuajes y Piercings,11
5,Telefonía fija y celular (venta de equipos y adicionales),27
5,Terminales de transporte de pasajeros en general (colectivos y marítimo),2
5,Tintorerías y lavaderos de ropa,116
5,Venta de alimentos y bebidas,876
5,Viveros y jardinería,40
5,ZZ - Otros negocios no contemplados anteriormente,28
6,Agencias de Seguros y ART,9
6,Agencias de turismo,15
6,"Artículos limpieza, artículos de embalaje y pañaleras",45
6,Art�culos para el hogar y construcci�n,318
6,"Autos, motos y servicios relacionados",109
6,"Bancos, financieras, tarjetas de crédito y casas de cambios",36
6,Centro de atención a clientes de telecomunicaciones,4
6,"Combustibles, estaciones de servicio",14
6,"Computación, juegos y consolas, películas, discos y CDs",33
6,Correos públicos y privados,7
6,Depósito con ventas web,21
6,Enseñanza privada y/o parroquiales en todos su niveles y formatos,129
6,"Farmacias, perfumer�as e insumos m�dicos",108
6,"Garages, estacionamientos pagos y lavaderos de auto",95
6,"Gimnasios, canchas de alquiler y yoga",34
6,"Hoteles, geri�tricos y alojamiento",60
6,"Indumentaria, accesorios, calzado y textiles",576
